dataset,model,seed,degradation,severity,trust_signal,performance_signal,confidence_signal,rule_channel,rule,rule_label,deterioration_value,caution_threshold,do_not_trust_threshold,rule_signal,triggered,is_channel_driver,is_overall_driver,gap_direction,validation_split,validation_track_hash,track_overlap
GTSRB,GTSRBCNN,42,noise,5,do_not_trust,do_not_trust,do_not_trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.5859065716547902,0.05,0.15,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,noise,5,do_not_trust,do_not_trust,do_not_trust,performance,relative_error_increase,relative error increase,4.479418886198548,1.0,3.0,do_not_trust,True,True,True,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,trust,trust,trust,confidence,ece_increase,ECE increase,5.85464499626015e-05,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.00047505938242280166,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,5.8546449962504354e-05,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,trust,trust,trust,performance,absolute_accuracy_drop,absolute accuracy drop,0.0030878859857482732,0.05,0.15,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,1,trust,trust,trust,performance,relative_error_increase,relative error increase,0.023607748184019794,1.0,3.0,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,2,trust,trust,trust,confidence,ece_increase,ECE increase,0.0037019793891000935,0.03,0.08,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,2,trust,trust,trust,confidence,fixed_hcer_increase,fixed HCER increase,0.0008709422011084975,0.02,0.07,trust,False,False,False,,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,GTSRBCNN,42,low_light,2,trust,trust,trust,confidence,gap_deterioration,confidence gap deterioration,0.0037019793891000935,0.05,0.12,trust,False,False,False,towards_overconfidence,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
