dataset,seed,degradation,severity,baseline_model,stronger_model,true_label,true_class_count,baseline_correct_count,stronger_correct_count,baseline_recall,stronger_recall,recall_delta_stronger_minus_baseline,higher_recall_model,baseline_share_of_all_correct,stronger_share_of_all_correct,baseline_correct_contribution_rank,stronger_correct_contribution_rank,baseline_predicted_count,stronger_predicted_count,baseline_prediction_share,stronger_prediction_share,baseline_prediction_rank,stronger_prediction_rank,validation_split,validation_track_hash,track_overlap
GTSRB,42,none,0,GTSRBCNN,ResNet18,33,210,202,205,0.9619047619047619,0.9761904761904762,0.014285714285714235,ResNet18,0.018400437238112587,0.016987073251574412,21,21,204,211,0.016152019002375298,0.016706254948535233,22,21,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,34,120,117,119,0.975,0.9916666666666667,0.01666666666666672,ResNet18,0.01065767899435234,0.009860788863109048,25,28,118,119,0.00934283452098179,0.009422011084718924,27,28,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,35,390,376,356,0.9641025641025641,0.9128205128205128,-0.05128205128205132,GTSRBCNN,0.034250318819457094,0.029499502817368246,13,16,399,360,0.031591448931116387,0.028503562945368172,15,16,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,36,120,119,119,0.9916666666666667,0.9916666666666667,0.0,tie,0.010839861541264347,0.009860788863109048,24,29,159,119,0.012589073634204275,0.009422011084718924,24,29,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,37,60,57,58,0.95,0.9666666666666667,0.01666666666666672,ResNet18,0.005192202586992166,0.004806098773616175,34,40,59,61,0.004671417260490895,0.004829770387965162,39,41,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,38,690,656,631,0.9507246376811594,0.9144927536231884,-0.036231884057971064,GTSRBCNN,0.05975587538713791,0.05228704010606563,3,7,660,632,0.052256532066508314,0.050039588281868566,8,7,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,39,90,80,88,0.8888888888888888,0.9777777777777777,0.0888888888888889,ResNet18,0.007287301876480233,0.007292011932383162,32,33,92,90,0.00728424386381631,0.007125890736342043,31,33,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,40,90,75,81,0.8333333333333334,0.9,0.06666666666666665,ResNet18,0.006831845509200219,0.006711965528670865,33,36,90,87,0.007125890736342043,0.006888361045130641,33,35,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,41,60,15,48,0.25,0.8,0.55,ResNet18,0.0013663691018400437,0.003977461054027179,43,42,59,63,0.004671417260490895,0.0049881235154394295,40,40,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,none,0,GTSRBCNN,ResNet18,42,90,42,88,0.4666666666666667,0.9777777777777777,0.5111111111111111,ResNet18,0.0038258334851521223,0.007292011932383162,41,34,73,88,0.005779889152810768,0.006967537608867775,37,34,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,0,60,33,57,0.55,0.95,0.3999999999999999,ResNet18,0.0030569708198239925,0.004759121649828839,42,40,55,59,0.00435471100554236,0.004671417260490895,41,42,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,1,720,654,708,0.9083333333333333,0.9833333333333333,0.07499999999999996,ResNet18,0.060583603520148216,0.059113300492610835,2,3,731,788,0.057878068091844814,0.062391132224861444,2,1,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,2,750,582,740,0.776,0.9866666666666667,0.21066666666666667,ResNet18,0.053913849004168596,0.0617850880854972,6,1,627,753,0.0496437054631829,0.05961995249406176,8,2,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,3,450,365,448,0.8111111111111111,0.9955555555555555,0.1844444444444444,ResNet18,0.03381194997684113,0.037405026300409115,14,10,460,603,0.03642121931908155,0.047743467933491684,13,8,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,4,660,576,651,0.8727272727272727,0.9863636363636363,0.11363636363636365,ResNet18,0.05335803612783696,0.054354178842782,7,6,689,714,0.054552652414885196,0.056532066508313536,4,4,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,5,630,478,444,0.7587301587301587,0.7047619047619048,-0.05396825396825389,GTSRBCNN,0.04427975914775359,0.037071052851298324,8,11,703,462,0.055661124307205066,0.03657957244655582,3,12,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,6,150,83,140,0.5533333333333333,0.9333333333333333,0.38,ResNet18,0.007688744789254284,0.011689070718877849,29,26,83,141,0.006571654790182106,0.011163895486935867,33,26,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,7,450,318,438,0.7066666666666667,0.9733333333333334,0.2666666666666667,ResNet18,0.029458082445576655,0.03657009267763213,16,12,390,463,0.030878859857482184,0.03665874901029295,15,11,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,8,450,374,406,0.8311111111111111,0.9022222222222223,0.07111111111111112,ResNet18,0.03464566929133858,0.03389830508474576,12,14,511,415,0.04045922406967538,0.03285827395091053,11,14,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,9,480,469,480,0.9770833333333333,1.0,0.022916666666666696,ResNet18,0.043446039833256136,0.04007681389329548,9,8,526,495,0.04164687252573238,0.039192399049881234,10,9,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,10,660,641,652,0.9712121212121212,0.9878787878787879,0.01666666666666672,ResNet18,0.05937934228809634,0.0544376722050597,5,5,666,653,0.052731591448931116,0.05170229612034838,6,6,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,11,420,389,408,0.9261904761904762,0.9714285714285714,0.04523809523809519,ResNet18,0.03603520148216767,0.03406529180930116,11,13,477,424,0.03776722090261283,0.033570863024544734,12,13,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,12,690,645,687,0.9347826086956522,0.9956521739130435,0.060869565217391286,ResNet18,0.05974988420565076,0.05735993988477916,4,4,676,688,0.05352335708630245,0.05447347585114806,5,5,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,13,720,715,717,0.9930555555555556,0.9958333333333333,0.002777777777777768,ResNet18,0.06623436776285317,0.05986474075311013,1,2,778,735,0.0615993665874901,0.05819477434679335,1,3,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,14,270,267,270,0.9888888888888889,1.0,0.011111111111111072,ResNet18,0.024733672996757758,0.02254320781497871,18,18,270,279,0.021377672209026127,0.022090261282660333,18,18,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,15,210,210,210,1.0,1.0,0.0,tie,0.019453450671607225,0.017533606078316773,19,20,223,211,0.01765637371338084,0.016706254948535233,20,21,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,16,150,124,145,0.8266666666666667,0.9666666666666667,0.14,ResNet18,0.011486799444187124,0.012106537530266344,23,24,133,154,0.010530482977038796,0.012193190815518607,25,24,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,17,360,325,349,0.9027777777777778,0.9694444444444444,0.06666666666666665,ResNet18,0.030106530801296896,0.029139183434916924,15,17,328,349,0.02596991290577989,0.0276326207442597,16,17,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,18,390,281,356,0.7205128205128205,0.9128205128205128,0.1923076923076923,ResNet18,0.02603056970819824,0.029723636970860817,17,15,326,380,0.025811559778305623,0.030087094220110848,17,15,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
GTSRB,42,blur,1,GTSRBCNN,ResNet18,19,60,54,60,0.9,1.0,0.09999999999999998,ResNet18,0.005002315886984715,0.005009601736661935,36,38,67,79,0.005304829770387965,0.006254948535233571,39,37,stratified_track,f37d445eac4fe94ed5b346b8939aa361ab11f8f32b60cc5c06698bb858efaba8,0
